id,texto,falacias_encontradas,resposta
1,"Esse cara mentiu. Deixe eu falar pra vocês, esse cara mentiu sobre Ben Carson quando ele tirou os votos do Ben Carson em Iowa. E ele continua. Esse cara vai falar qualquer coisa. Cara nojento. Agora eu sei porque ele não tem patrocínios de nenhum dos seus colegas.",Ad Hominem,Falacias: Ad Hominem; Explicacao: Ataca a pessoa em vez do argumento.
2,Pessoa A: Acho que precisamos discutir formas de reduzir o número de armas em circulação no Brasil. Pessoa B: Então você quer desarmar completamente a população e deixar os cidadãos indefesos contra criminosos?,Espantalho,Falacias: Espantalho; Explicacao: Distorção extrema do argumento.
3,"Se você ama de verdade o Brasil e se importa com o futuro dos seus filhos, precisa protestar contra essa PEC que tenta blindar os parlamentares. Ficar calado agora é trair a nação e deixar que destruam o país.","Falso Dilema, Apelo à Emoção","Falacias: Apelo à Emoção; Falso Dilema; Explicacao: Manipula sentimentos patrióticos e parentais para forçar uma ação, e apresenta apenas duas opções extremas (protestar ou trair a nação)."
5,"Fui pra França no Natal, minha experiência lá com os franceses foi horrível. Até fui roubada quando visitei o museu do Louvre. Quando for pra Europa, saiba que a França é linda, mas os franceses são arrogantes e ladrões.",Generalização Apressada,Falacias: Generalização Apressada; Explicacao: Generaliza a partir de poucos casos.
8,"Se começarmos a reduzir a jornada de trabalho e acabar com o regime 6x1, logo as empresas não vão conseguir se manter, o desemprego vai aumentar e a economia vai desabar",Ladeira Escorregadia,Falacias: Ladeira Escorregadia; Explicacao: Afirma que um passo leva a consequências extremas.
12,Quem defende que o governo deve investir mais em ciência está apenas querendo gastar dinheiro público sem retorno real.,Ad Hominem,Falacias: Ad Hominem; Explicacao: Ataca a motivação em vez de argumentar.
14,Ou você apoia a 'limpa' que foi feita no morro do Alemão ou está do lado dos criminosos que destroem famílias. Pense nas mães que perderam seus filhos! Quem se opõe a essa medida claramente não tem compaixão pelo sofrimento das reais vítimas.,"Ad Hominem, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Apelo à Emoção, Ad Hominem; Explicacao: Apresenta apenas duas opções extremas, manipula emoções e ataca a compaixão dos oponentes em vez de seus argumentos."
17,"Quem critica a privatização é um preguiçoso que nunca produziu nada. Ou você apoia o livre mercado e o progresso, ou quer ver o país afundar na miséria.","Ad Hominem, Falso Dilema",Falacias: Ad Hominem; Falso Dilema; Explicacao: Ataca o crítico e apresenta apenas duas opções extremas.
19,"Os acontecimentos no Nepal e agora no México mostram de forma clara que ou o Brasil regula as redes sociais ou seremos alvo de um golpe digital, tal qual está ocorrendo pelo mundo todo.","Ladeira Escorregadia, Generalização Apressada, Falso Dilema","Falacias: Falso Dilema, Generalização Apressada, Ladeira Escorregadia; Explicacao: Apresenta apenas duas opções extremas, generaliza a partir de poucos casos e afirma que a falta de ação levará a uma consequência inevitável."
20,"Pessoa A: Precisamos reduzir o consumo de carne para ajudar o planeta. Pessoa B: Então você quer acabar com os churrascos, fechar fazendas e destruir a economia rural? Se isso acontecer, o país vai quebrar.","Ladeira Escorregadia, Espantalho","Falacias: Espantalho e Ladeira Escorregadia; Explicacao: Distorce o argumento de Pessoa A em uma versão extrema e, a partir dela, prevê uma cadeia inevitável de eventos catastróficos."
33,Pessoa A: acho que precisamos revisar impostos para empresas. Pessoa B: Então você quer destruir o empreendedorismo! E quem apoia isso claramente não tem compaixão pelos trabalhadores que dependem desses empregos.,"Ad Hominem, Espantalho",Falacias: Espantalho; Explicacao: Distorção extrema do argumento; Falacias: Ad Hominem; Explicacao: Ataca motivação em vez de argumentar.
37,"Se começarmos a liberar protestos em rodovias, logo ninguém conseguirá chegar ao trabalho. Eu vi *um* protesto que parou uma ambulância, então *todos* os protestos vão acabar matando gente.","Ladeira Escorregadia, Generalização Apressada",Falacias: Ladeira Escorregadia; Explicacao: Afirma que um passo leva a uma sequência de eventos negativos extremos; Generalização Apressada; Explicacao: Generaliza a partir de um único caso.
